Time,Deal,Symbol,Type,Direction,Volume,Price,Profit
2006.01.02 12:00:00,2,USDCAD,buy,in,0.1,1.1626,0
2006.01.02 14:02:00,3,USDCAD,sell,out,0.1,1.162,-6
2006.01.02 17:00:00,4,USDCAD,buy,in,0.1,1.1653,0
2006.01.02 21:00:30,5,USDCAD,sell,out,0.1,1.165,-3
2006.01.02 23:00:30,6,USDCAD,sell,in,0.1,1.1635,0
2006.01.03 02:00:00,7,USDCAD,buy,out,0.1,1.166,-25
2006.01.03 04:00:00,8,USDCAD,sell,in,0.1,1.1634,0
2006.01.03 09:00:00,9,USDCAD,buy,out,0.1,1.1628,6
2006.01.03 14:00:00,10,USDCAD,buy,in,0.1,1.1626,0
2006.01.03 17:00:00,11,USDCAD,sell,out,0.1,1.156,-66
2006.01.04 07:00:30,12,USDCAD,buy,in,0.1,1.157,0
2006.01.04 10:00:00,13,USDCAD,sell,out,0.1,1.1552,-18
2006.01.05 09:00:00,14,USDCAD,buy,in,0.1,1.1485,0
2006.01.05 15:00:00,15,USDCAD,sell,out,0.1,1.1541,56
2006.01.06 07:00:00,16,USDCAD,sell,in,0.1,1.1626,0
2006.01.06 09:00:00,17,USDCAD,buy,out,0.1,1.165,-24
2006.01.06 15:00:00,18,USDCAD,sell,in,0.1,1.1673,0
2006.01.06 21:00:00,19,USDCAD,buy,out,0.1,1.1668,5
2006.01.09 09:00:00,20,USDCAD,buy,in,0.1,1.1675,0
2006.01.09 13:00:00,21,USDCAD,sell,out,0.1,1.1696,21
2006.01.09 18:00:00,22,USDCAD,sell,in,0.1,1.1693,0
2006.01.10 04:00:00,23,USDCAD,buy,out,0.1,1.1686,7
2006.01.10 09:00:00,24,USDCAD,buy,in,0.1,1.1685,0
2006.01.10 14:00:00,25,USDCAD,sell,out,0.1,1.1679,-6
2006.01.10 23:00:00,26,USDCAD,buy,in,0.1,1.1668,0
2006.01.11 01:00:00,27,USDCAD,sell,out,0.1,1.1633,-35
2006.01.11 04:01:00,28,USDCAD,buy,in,0.1,1.1651,0
2006.01.11 09:00:00,29,USDCAD,sell,out,0.1,1.1653,2
2006.01.12 11:00:00,30,USDCAD,buy,in,0.1,1.1581,0
2006.01.12 15:00:00,31,USDCAD,sell,out,0.1,1.1587,6
2006.01.12 19:00:00,32,USDCAD,sell,in,0.1,1.1622,0
2006.01.12 22:00:00,33,USDCAD,buy,out,0.1,1.1632,-10
2006.01.13 10:00:00,34,USDCAD,buy,in,0.1,1.1618,0
2006.01.13 11:00:00,35,USDCAD,sell,out,0.1,1.1613,-5
2006.01.16 08:00:00,36,USDCAD,buy,in,0.1,1.1614,0
2006.01.16 10:00:00,37,USDCAD,sell,out,0.1,1.1591,-23
2006.01.16 12:00:00,38,USDCAD,buy,in,0.1,1.161,0
2006.01.16 15:00:00,39,USDCAD,sell,out,0.1,1.1598,-12
2006.01.16 20:00:00,40,USDCAD,buy,in,0.1,1.1601,0
2006.01.16 23:00:00,41,USDCAD,sell,out,0.1,1.1581,-20
2006.01.17 02:00:00,42,USDCAD,buy,in,0.1,1.16,0
2006.01.17 08:00:00,43,USDCAD,sell,out,0.1,1.158,-20
2006.01.17 15:00:00,44,USDCAD,sell,in,0.1,1.1583,0
2006.01.17 17:00:00,45,USDCAD,buy,out,0.1,1.1657,-74
2006.01.18 01:00:00,46,USDCAD,sell,in,0.1,1.1617,0
2006.01.18 04:00:00,47,USDCAD,buy,out,0.1,1.1631,-14
2006.01.18 05:00:00,48,USDCAD,sell,in,0.1,1.1626,0
2006.01.18 09:00:00,49,USDCAD,buy,out,0.1,1.1639,-13
2006.01.19 04:00:00,50,USDCAD,sell,in,0.1,1.1698,0
2006.01.19 09:00:00,51,USDCAD,buy,out,0.1,1.1728,-30
2006.01.19 16:00:00,52,USDCAD,sell,in,0.1,1.175,0
2006.01.19 21:00:00,53,USDCAD,buy,out,0.1,1.1642,108
2006.01.20 08:00:00,54,USDCAD,buy,in,0.1,1.1659,0
2006.01.20 11:00:00,55,USDCAD,sell,out,0.1,1.1643,-16
2006.01.23 07:00:00,56,USDCAD,buy,in,0.1,1.1531,0
2006.01.23 11:00:00,57,USDCAD,sell,out,0.1,1.1516,-15
2006.01.23 17:00:00,58,USDCAD,buy,in,0.1,1.1498,0
2006.01.23 21:00:00,59,USDCAD,sell,out,0.1,1.15,2
2006.01.24 08:00:00,60,USDCAD,sell,in,0.1,1.1511,0
2006.01.24 10:00:00,61,USDCAD,buy,out,0.1,1.154,-29
2006.01.24 12:00:00,62,USDCAD,sell,in,0.1,1.1521,0
2006.01.24 16:00:00,63,USDCAD,buy,out,0.1,1.1563,-42
2006.01.24 19:00:00,64,USDCAD,sell,in,0.1,1.1552,0
2006.01.25 01:00:00,65,USDCAD,buy,out,0.1,1.1532,20
2006.01.25 15:00:00,66,USDCAD,buy,in,0.1,1.151,0
2006.01.25 18:00:00,67,USDCAD,sell,out,0.1,1.1479,-31
2006.01.25 21:00:00,68,USDCAD,buy,in,0.1,1.1513,0
2006.01.26 06:03:00,69,USDCAD,sell,out,0.1,1.1518,5
2006.01.26 11:00:00,70,USDCAD,sell,in,0.1,1.1513,0
2006.01.26 14:00:00,71,USDCAD,buy,out,0.1,1.1536,-23
2006.01.26 23:00:00,72,USDCAD,buy,in,0.1,1.1514,0
2006.01.27 01:00:00,73,USDCAD,sell,out,0.1,1.1492,-22
2006.01.27 06:00:00,74,USDCAD,buy,in,0.1,1.1505,0
2006.01.27 09:00:00,75,USDCAD,sell,out,0.1,1.1494,-11
2006.01.27 15:00:00,76,USDCAD,buy,in,0.1,1.1503,0
2006.01.27 18:00:00,77,USDCAD,sell,out,0.1,1.1478,-25
2006.01.30 00:01:00,78,USDCAD,sell,in,0.1,1.1485,0
2006.01.30 05:00:00,79,USDCAD,buy,out,0.1,1.1497,-12
2006.01.30 17:00:00,80,USDCAD,buy,in,0.1,1.1461,0
2006.01.30 23:00:00,81,USDCAD,sell,out,0.1,1.1454,-7
2006.01.31 06:00:00,82,USDCAD,sell,in,0.1,1.146,0
2006.01.31 12:00:00,83,USDCAD,buy,out,0.1,1.1467,-7
2006.01.31 19:00:00,84,USDCAD,buy,in,0.1,1.1429,0
2006.01.31 20:00:00,85,USDCAD,sell,out,0.1,1.1424,-5
2006.02.01 05:00:00,86,USDCAD,buy,in,0.1,1.1408,0
2006.02.01 08:00:00,87,USDCAD,sell,out,0.1,1.1394,-14
2006.02.01 14:00:00,88,USDCAD,sell,in,0.1,1.1397,0
2006.02.01 16:00:00,89,USDCAD,buy,out,0.1,1.1424,-27
2006.02.01 18:00:00,90,USDCAD,sell,in,0.1,1.1403,0
2006.02.01 22:00:00,91,USDCAD,buy,out,0.1,1.141,-7
2006.02.02 10:00:00,92,USDCAD,sell,in,0.1,1.1425,0
2006.02.02 14:00:00,93,USDCAD,buy,out,0.1,1.1435,-10
2006.02.02 18:00:00,94,USDCAD,sell,in,0.1,1.1432,0
2006.02.02 21:00:00,95,USDCAD,buy,out,0.1,1.1446,-14
2006.02.03 02:00:00,96,USDCAD,sell,in,0.1,1.1447,0
2006.02.03 04:00:00,97,USDCAD,buy,out,0.1,1.1462,-15
2006.02.03 08:00:00,98,USDCAD,sell,in,0.1,1.145,0
2006.02.03 10:00:00,99,USDCAD,buy,out,0.1,1.1462,-12
2006.02.03 17:00:00,100,USDCAD,sell,in,0.1,1.1473,0
2006.02.06 02:00:00,101,USDCAD,buy,out,0.1,1.1447,26
2006.02.06 11:00:00,102,USDCAD,buy,in,0.1,1.1447,0
2006.02.06 14:00:00,103,USDCAD,sell,out,0.1,1.1448,1
2006.02.06 19:00:00,104,USDCAD,sell,in,0.1,1.1452,0
2006.02.06 21:00:00,105,USDCAD,buy,out,0.1,1.1465,-13
2006.02.07 07:00:00,106,USDCAD,sell,in,0.1,1.1468,0
2006.02.07 10:00:00,107,USDCAD,buy,out,0.1,1.1489,-21
2006.02.07 11:00:00,108,USDCAD,sell,in,0.1,1.1461,0
2006.02.07 14:00:00,109,USDCAD,buy,out,0.1,1.1477,-16
2006.02.07 18:00:00,110,USDCAD,sell,in,0.1,1.1489,0
2006.02.07 20:00:00,111,USDCAD,buy,out,0.1,1.1524,-35
2006.02.08 13:00:00,112,USDCAD,sell,in,0.1,1.153,0
2006.02.09 01:00:00,113,USDCAD,buy,out,0.1,1.1511,19
2006.02.09 10:00:00,114,USDCAD,buy,in,0.1,1.1499,0
2006.02.09 13:00:00,115,USDCAD,sell,out,0.1,1.1483,-16
2006.02.10 02:00:00,116,USDCAD,buy,in,0.1,1.1474,0
2006.02.10 04:00:00,117,USDCAD,sell,out,0.1,1.1458,-16
2006.02.10 15:00:00,118,USDCAD,sell,in,0.1,1.1468,0
2006.02.10 17:00:00,119,USDCAD,buy,out,0.1,1.1543,-75
2006.02.13 07:00:00,120,USDCAD,sell,in,0.1,1.1533,0
2006.02.13 11:00:00,121,USDCAD,buy,out,0.1,1.1561,-28
2006.02.13 15:00:00,122,USDCAD,sell,in,0.1,1.1568,0
2006.02.13 19:00:00,123,USDCAD,buy,out,0.1,1.1556,12
2006.02.14 07:00:00,124,USDCAD,sell,in,0.1,1.1556,0
2006.02.14 09:00:00,125,USDCAD,buy,out,0.1,1.1564,-8
2006.02.14 16:00:00,126,USDCAD,sell,in,0.1,1.1547,0
2006.02.14 22:00:00,127,USDCAD,buy,out,0.1,1.154,7
2006.02.15 06:00:00,128,USDCAD,buy,in,0.1,1.1549,0
2006.02.15 10:00:00,129,USDCAD,sell,out,0.1,1.1542,-7
2006.02.15 12:00:00,130,USDCAD,sell,in,0.1,1.1542,0
2006.02.15 13:00:00,131,USDCAD,buy,out,0.1,1.1548,-6
2006.02.16 09:00:00,132,USDCAD,sell,in,0.1,1.1574,0
2006.02.16 11:00:00,133,USDCAD,buy,out,0.1,1.1592,-18
2006.02.16 13:00:00,134,USDCAD,sell,in,0.1,1.1577,0
2006.02.16 17:00:00,135,USDCAD,buy,out,0.1,1.1598,-21
2006.02.16 21:00:00,136,USDCAD,sell,in,0.1,1.1575,0
2006.02.17 03:00:00,137,USDCAD,buy,out,0.1,1.158,-5
2006.02.17 04:00:00,138,USDCAD,buy,in,0.1,1.1589,0
2006.02.17 07:00:00,139,USDCAD,sell,out,0.1,1.1576,-13
2006.02.17 12:00:00,140,USDCAD,buy,in,0.1,1.1572,0
2006.02.17 16:00:00,141,USDCAD,sell,out,0.1,1.1535,-37
2006.02.20 09:00:00,142,USDCAD,buy,in,0.1,1.1509,0
2006.02.20 13:00:00,143,USDCAD,sell,out,0.1,1.1484,-25
2006.02.21 01:00:00,144,USDCAD,buy,in,0.1,1.1478,0
2006.02.21 08:00:00,145,USDCAD,sell,out,0.1,1.1479,1
2006.02.21 19:00:00,146,USDCAD,buy,in,0.1,1.147,0
2006.02.22 03:01:00,147,USDCAD,sell,out,0.1,1.1475,5
2006.02.22 07:00:00,148,USDCAD,sell,in,0.1,1.1478,0
2006.02.22 09:00:00,149,USDCAD,buy,out,0.1,1.1492,-14
2006.02.22 15:00:00,150,USDCAD,sell,in,0.1,1.1486,0
2006.02.22 19:00:00,151,USDCAD,buy,out,0.1,1.1485,1
2006.02.22 21:00:00,152,USDCAD,buy,in,0.1,1.1496,0
2006.02.23 00:01:00,153,USDCAD,sell,out,0.1,1.1484,-12
2006.02.23 15:00:00,154,USDCAD,buy,in,0.1,1.1502,0
2006.02.23 18:00:00,155,USDCAD,sell,out,0.1,1.1513,11
