Time,Deal,Symbol,Type,Direction,Volume,Price,Profit
2006.01.02 09:00:00,2,EURUSD,sell,in,0.1,1.1842,0
2006.01.02 11:00:00,3,EURUSD,buy,out,0.1,1.185,-8
2006.01.02 21:00:00,4,EURUSD,buy,in,0.1,1.1825,0
2006.01.03 01:00:00,5,EURUSD,sell,out,0.1,1.1814,-11
2006.01.04 11:00:00,6,EURUSD,sell,in,0.1,1.2065,0
2006.01.04 14:00:00,7,EURUSD,buy,out,0.1,1.2094,-29
2006.01.04 18:00:00,8,EURUSD,sell,in,0.1,1.2089,0
2006.01.04 19:00:00,9,EURUSD,buy,out,0.1,1.2127,-38
2006.01.05 01:00:00,10,EURUSD,sell,in,0.1,1.2111,0
2006.01.05 14:00:00,11,EURUSD,buy,out,0.1,1.2096,15
2006.01.06 03:00:00,12,EURUSD,sell,in,0.1,1.2086,0
2006.01.06 11:00:00,13,EURUSD,buy,out,0.1,1.2092,-6
2006.01.06 14:00:00,14,EURUSD,buy,in,0.1,1.2103,0
2006.01.06 18:00:00,15,EURUSD,sell,out,0.1,1.2147,44
2006.01.09 00:01:00,16,EURUSD,sell,in,0.1,1.2143,0
2006.01.09 11:00:00,17,EURUSD,buy,out,0.1,1.2093,50
2006.01.09 21:00:00,18,EURUSD,buy,in,0.1,1.2091,0
2006.01.10 02:00:00,19,EURUSD,sell,out,0.1,1.2068,-23
2006.01.10 15:00:00,20,EURUSD,sell,in,0.1,1.2055,0
2006.01.10 18:00:00,21,EURUSD,buy,out,0.1,1.2064,-9
2006.01.11 12:00:00,22,EURUSD,buy,in,0.1,1.2069,0
2006.01.11 21:00:00,23,EURUSD,sell,out,0.1,1.2127,58
2006.01.12 11:00:00,24,EURUSD,sell,in,0.1,1.2147,0
2006.01.12 18:00:00,25,EURUSD,buy,out,0.1,1.2035,112
2006.01.13 06:00:00,26,EURUSD,buy,in,0.1,1.2044,0
2006.01.13 11:00:00,27,EURUSD,sell,out,0.1,1.2069,25
2006.01.13 12:00:00,28,EURUSD,sell,in,0.1,1.2061,0
2006.01.13 17:00:00,29,EURUSD,buy,out,0.1,1.2083,-22
2006.01.16 09:00:00,30,EURUSD,sell,in,0.1,1.2149,0
2006.01.16 17:00:00,31,EURUSD,buy,out,0.1,1.2128,21
2006.01.16 21:00:00,32,EURUSD,buy,in,0.1,1.2125,0
2006.01.17 00:01:00,33,EURUSD,sell,out,0.1,1.2115,-10
2006.01.17 05:00:00,34,EURUSD,buy,in,0.1,1.2114,0
2006.01.17 11:00:00,35,EURUSD,sell,out,0.1,1.2105,-9
2006.01.17 12:00:00,36,EURUSD,sell,in,0.1,1.2109,0
2006.01.17 19:00:00,37,EURUSD,buy,out,0.1,1.2075,34
2006.01.17 21:00:00,38,EURUSD,buy,in,0.1,1.2098,0
