<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2006.01.02	00:00:00	117.890	117.970	117.560	117.610	294	0	30
2006.01.02	04:00:00	117.600	117.740	117.540	117.670	465	0	30
2006.01.02	08:00:00	117.630	117.930	117.580	117.920	1362	0	30
2006.01.02	12:00:00	117.930	118.070	117.780	117.790	1314	0	30
2006.01.02	16:00:00	117.800	117.860	117.720	117.810	1012	0	30
2006.01.02	20:00:00	117.840	117.980	117.770	117.890	658	0	30
2006.01.03	00:00:00	117.870	117.930	117.250	117.360	1426	0	30
2006.01.03	04:00:00	117.350	117.420	117.080	117.330	1390	0	30
2006.01.03	08:00:00	117.350	117.390	116.950	117.190	1761	0	30
2006.01.03	12:00:00	117.190	117.580	117.050	117.140	1667	0	30
2006.01.03	16:00:00	117.150	117.150	116.260	116.450	1744	0	30
2006.01.03	20:00:00	116.440	116.480	116.000	116.240	1441	0	30
2006.01.04	00:00:00	116.240	116.330	115.630	115.800	1547	0	30
2006.01.04	04:00:00	115.810	115.850	115.580	115.760	1452	0	30
2006.01.04	08:00:00	115.750	116.450	115.740	116.270	1976	0	30
2006.01.04	12:00:00	116.280	116.390	115.820	116.210	1859	0	30
2006.01.04	16:00:00	116.250	116.470	115.870	116.010	1750	0	30
2006.01.04	20:00:00	116.000	116.200	115.890	116.190	1234	0	30
2006.01.05	00:00:00	116.200	116.490	116.110	116.140	1541	0	30
2006.01.05	04:00:00	116.120	116.280	116.000	116.100	1317	0	30
2006.01.05	08:00:00	116.090	116.390	115.740	116.330	1799	0	30
2006.01.05	12:00:00	116.320	116.450	116.000	116.160	1771	0	30
2006.01.05	16:00:00	116.140	116.200	115.800	115.990	1626	0	30
2006.01.05	20:00:00	115.990	116.130	115.820	116.080	1271	0	30
2006.01.06	00:00:00	116.070	116.280	115.790	116.170	1442	0	30
2006.01.06	04:00:00	116.170	116.200	115.990	116.070	1303	0	30
2006.01.06	08:00:00	116.070	116.280	115.990	116.230	1569	0	30
2006.01.06	12:00:00	116.220	116.310	114.550	114.640	2185	0	30
2006.01.06	16:00:00	114.640	114.780	114.220	114.360	1912	0	30
2006.01.06	20:00:00	114.370	114.510	114.250	114.420	982	0	30
2006.01.09	00:00:00	114.560	114.580	113.770	113.900	1619	0	30
2006.01.09	04:00:00	113.890	114.230	113.770	114.140	1388	0	30
2006.01.09	08:00:00	114.170	114.320	113.900	114.100	1754	0	30
2006.01.09	12:00:00	114.110	114.240	114.010	114.110	1588	0	30
2006.01.09	16:00:00	114.100	114.780	114.040	114.500	1617	0	30
2006.01.09	20:00:00	114.500	114.600	114.190	114.560	1222	0	30
2006.01.10	00:00:00	114.560	114.780	114.320	114.730	1530	0	30
2006.01.10	04:00:00	114.730	114.800	114.500	114.620	1390	0	30
2006.01.10	08:00:00	114.630	114.650	114.100	114.120	1767	0	30
2006.01.10	12:00:00	114.120	114.710	114.110	114.340	1666	0	30
2006.01.10	16:00:00	114.340	114.680	114.210	114.540	1471	0	30
2006.01.10	20:00:00	114.540	114.570	114.270	114.460	1249	0	30
2006.01.11	00:00:00	114.470	114.710	114.330	114.560	1358	0	30
2006.01.11	04:00:00	114.580	114.910	114.400	114.780	1452	0	30
2006.01.11	08:00:00	114.770	114.880	114.470	114.500	1699	0	30
2006.01.11	12:00:00	114.530	114.630	114.010	114.090	1820	0	30
2006.01.11	16:00:00	114.090	114.360	113.900	114.110	1717	0	30
2006.01.11	20:00:00	114.110	114.400	114.040	114.210	1228	0	30
2006.01.12	00:00:00	114.190	114.380	113.980	114.080	1473	0	30
2006.01.12	04:00:00	114.070	114.200	113.800	113.860	1508	0	30
2006.01.12	08:00:00	113.880	114.120	113.500	113.590	1888	0	30
2006.01.12	12:00:00	113.590	114.250	113.410	114.030	2067	0	30
2006.01.12	16:00:00	114.030	114.440	114.020	114.280	1532	0	30
2006.01.12	20:00:00	114.280	114.610	114.140	114.580	1265	0	30
2006.01.13	00:00:00	114.610	114.750	114.490	114.560	1532	0	30
2006.01.13	04:00:00	114.550	114.820	114.500	114.530	1451	0	30
2006.01.13	08:00:00	114.530	114.610	114.330	114.520	1629	0	30
2006.01.13	12:00:00	114.520	114.780	114.360	114.570	1707	0	30
2006.01.13	16:00:00	114.560	114.640	114.140	114.220	1820	0	30
2006.01.13	20:00:00	114.230	114.370	114.140	114.320	940	0	30
2006.01.16	00:00:00	114.110	114.190	113.780	114.180	1427	0	30
2006.01.16	04:00:00	114.170	114.520	114.080	114.380	1395	0	30
2006.01.16	08:00:00	114.380	114.740	114.290	114.630	1613	0	30
2006.01.16	12:00:00	114.630	115.130	114.600	114.930	1526	0	30
2006.01.16	16:00:00	114.950	115.030	114.850	114.890	1262	0	30
2006.01.16	20:00:00	114.900	115.180	114.850	115.140	892	0	30
2006.01.17	00:00:00	115.130	115.290	114.870	114.920	1452	0	30
2006.01.17	04:00:00	114.920	115.160	114.790	114.910	1371	0	30
2006.01.17	08:00:00	114.910	115.080	114.570	115.010	1712	0	30
2006.01.17	12:00:00	115.010	115.550	114.990	115.470	1698	0	30
2006.01.17	16:00:00	115.470	115.940	115.460	115.700	1503	0	30
2006.01.17	20:00:00	115.700	115.720	115.350	115.430	1274	0	30
2006.01.18	00:00:00	115.450	115.800	115.390	115.520	1347	0	30
2006.01.18	04:00:00	115.530	115.910	115.410	115.640	1610	0	30
2006.01.18	08:00:00	115.640	115.700	114.800	115.100	2046	0	30
2006.01.18	12:00:00	115.100	115.290	114.820	114.990	1948	0	30
2006.01.18	16:00:00	114.990	115.450	114.960	115.350	1681	0	30
2006.01.18	20:00:00	115.380	115.390	115.150	115.240	1195	0	30
2006.01.19	00:00:00	115.230	115.490	115.170	115.270	1435	0	30
2006.01.19	04:00:00	115.270	115.380	115.070	115.180	1325	0	30
2006.01.19	08:00:00	115.150	115.450	115.110	115.230	1751	0	30
2006.01.19	12:00:00	115.260	115.350	114.990	115.150	1793	0	30
2006.01.19	16:00:00	115.130	115.600	114.930	115.500	1583	0	30
2006.01.19	20:00:00	115.500	115.600	115.330	115.500	1309	0	30
2006.01.20	00:00:00	115.510	115.700	115.420	115.560	1319	0	30
2006.01.20	04:00:00	115.560	115.680	115.520	115.640	1289	0	30
2006.01.20	08:00:00	115.650	115.680	115.140	115.260	1789	0	30
2006.01.20	12:00:00	115.290	115.450	114.950	115.210	1685	0	30
2006.01.20	16:00:00	115.210	115.530	115.110	115.300	1633	0	30
2006.01.20	20:00:00	115.300	115.370	115.180	115.250	941	0	30
2006.01.23	00:00:00	115.160	115.320	114.630	114.830	1715	0	30
2006.01.23	04:00:00	114.840	114.860	114.460	114.810	1487	0	30
