Time,Deal,Symbol,Type,Direction,Volume,Price,Profit
2006.01.09 01:00:00,2,EURUSD,sell,in,0.1,1.2142,0
2006.01.09 22:00:00,3,EURUSD,buy,out,0.1,1.2087,55
2006.01.25 16:00:00,4,EURUSD,sell,in,0.1,1.2257,0
2006.01.26 06:00:00,5,EURUSD,buy,out,0.1,1.2259,-2
2006.03.28 22:00:00,6,EURUSD,sell,in,0.1,1.2008,0
2006.03.29 13:00:00,7,EURUSD,buy,out,0.1,1.2021,-13
2006.05.24 18:00:00,8,EURUSD,sell,in,0.1,1.2752,0
2006.05.25 08:00:00,9,EURUSD,buy,out,0.1,1.2766,-14
2006.06.06 13:00:00,10,EURUSD,sell,in,0.1,1.2874,0
2006.06.07 01:00:00,11,EURUSD,buy,out,0.1,1.2822,52
2006.07.05 10:00:00,12,EURUSD,sell,in,0.1,1.2757,0
2006.07.06 01:00:00,13,EURUSD,buy,out,0.1,1.2733,24
2006.07.10 00:01:00,14,EURUSD,sell,in,0.1,1.2813,0
2006.07.11 01:00:00,15,EURUSD,buy,out,0.1,1.2746,67
2006.07.28 13:00:00,16,EURUSD,sell,in,0.1,1.2676,0
2006.07.28 15:00:00,17,EURUSD,buy,out,0.1,1.2728,-52
2006.08.18 14:00:00,18,EURUSD,sell,in,0.1,1.28,0
2006.08.18 21:00:00,19,EURUSD,buy,out,0.1,1.2828,-28
2006.08.31 17:00:00,20,EURUSD,sell,in,0.1,1.2805,0
2006.09.01 05:00:00,21,EURUSD,buy,out,0.1,1.2806,-1
2006.09.01 06:00:00,22,EURUSD,sell,in,0.1,1.2803,0
2006.09.01 07:00:00,23,EURUSD,buy,out,0.1,1.2808,-5
2006.09.15 00:01:40,24,EURUSD,sell,in,0.1,1.2723,0
2006.09.18 00:01:00,25,EURUSD,buy,out,0.1,1.2639,84
2006.11.08 15:03:20,26,EURUSD,sell,in,0.1,1.2767,0
2006.11.09 07:00:00,27,EURUSD,buy,out,0.1,1.2765,2
2006.11.21 06:00:00,28,EURUSD,sell,in,0.1,1.2808,0
2006.11.21 09:00:00,29,EURUSD,buy,out,0.1,1.2826,-18
2006.11.21 14:00:00,30,EURUSD,sell,in,0.1,1.2814,0
2006.11.21 18:00:00,31,EURUSD,buy,out,0.1,1.2825,-11
2007.01.22 11:00:00,32,EURUSD,sell,in,0.1,1.2951,0
2007.01.22 21:01:00,33,EURUSD,buy,out,0.1,1.2952,-1
2007.02.02 16:00:00,34,EURUSD,sell,in,0.1,1.2982,0
2007.02.05 09:00:00,35,EURUSD,buy,out,0.1,1.2952,30
2007.02.12 11:00:00,36,EURUSD,sell,in,0.1,1.298,0
2007.02.12 23:00:00,37,EURUSD,buy,out,0.1,1.2965,15
2007.03.29 23:00:00,38,EURUSD,sell,in,0.1,1.3331,0
2007.03.30 06:02:00,39,EURUSD,buy,out,0.1,1.3344,-13
2007.04.30 02:00:00,40,EURUSD,sell,in,0.1,1.3623,0
2007.04.30 17:00:00,41,EURUSD,buy,out,0.1,1.3648,-25
2007.05.08 11:00:00,42,EURUSD,sell,in,0.1,1.3575,0
2007.05.09 00:00:30,43,EURUSD,buy,out,0.1,1.3546,29
2007.05.29 20:00:00,44,EURUSD,sell,in,0.1,1.3445,0
2007.05.30 21:00:00,45,EURUSD,buy,out,0.1,1.3429,16
2007.06.28 20:00:00,46,EURUSD,sell,in,0.1,1.3448,0
2007.06.29 08:00:00,47,EURUSD,buy,out,0.1,1.3453,-5
2007.07.05 17:00:00,48,EURUSD,sell,in,0.1,1.36,0
2007.07.06 06:00:00,49,EURUSD,buy,out,0.1,1.36,0
2007.07.16 00:05:30,50,EURUSD,sell,in,0.1,1.378,0
2007.07.16 07:00:00,51,EURUSD,buy,out,0.1,1.3792,-12
2007.07.16 09:00:00,52,EURUSD,sell,in,0.1,1.378,0
2007.07.16 11:00:00,53,EURUSD,buy,out,0.1,1.3795,-15
2007.07.16 15:00:00,54,EURUSD,sell,in,0.1,1.3786,0
2007.07.17 05:03:30,55,EURUSD,buy,out,0.1,1.3784,2
2007.07.18 11:00:00,56,EURUSD,sell,in,0.1,1.3784,0
2007.07.18 19:00:00,57,EURUSD,buy,out,0.1,1.3805,-21
2007.07.24 12:00:00,58,EURUSD,sell,in,0.1,1.3813,0
2007.07.24 14:00:00,59,EURUSD,buy,out,0.1,1.3834,-21
2007.07.24 22:00:00,60,EURUSD,sell,in,0.1,1.3816,0
2007.07.25 23:00:00,61,EURUSD,buy,out,0.1,1.3724,92
2007.08.31 17:00:00,62,EURUSD,sell,in,0.1,1.3631,0
2007.09.03 06:00:00,63,EURUSD,buy,out,0.1,1.3639,-8
2007.09.03 15:00:00,64,EURUSD,sell,in,0.1,1.3632,0
2007.09.04 00:00:00,65,EURUSD,buy,out,0.1,1.3626,6
2007.09.14 13:00:00,66,EURUSD,sell,in,0.1,1.3856,0
2007.09.14 15:00:00,67,EURUSD,buy,out,0.1,1.3883,-27
2007.09.27 03:00:00,68,EURUSD,sell,in,0.1,1.4126,0
2007.09.27 04:00:30,69,EURUSD,buy,out,0.1,1.4134,-8
2007.10.15 20:00:00,70,EURUSD,sell,in,0.1,1.4202,0
2007.10.16 09:00:00,71,EURUSD,buy,out,0.1,1.4225,-23
2007.10.16 10:00:00,72,EURUSD,sell,in,0.1,1.4166,0
2007.10.16 22:00:00,73,EURUSD,buy,out,0.1,1.4164,2
2007.11.01 23:00:00,74,EURUSD,sell,in,0.1,1.442,0
2007.11.02 04:00:30,75,EURUSD,buy,out,0.1,1.4438,-18
2007.11.23 11:00:00,76,EURUSD,sell,in,0.1,1.4821,0
2007.11.23 22:00:00,77,EURUSD,buy,out,0.1,1.4838,-17
2008.01.07 00:03:00,78,EURUSD,sell,in,0.1,1.4746,0
2008.01.07 16:00:00,79,EURUSD,buy,out,0.1,1.4719,27
2008.01.15 17:00:00,80,EURUSD,sell,in,0.1,1.4853,0
2008.01.16 05:00:00,81,EURUSD,buy,out,0.1,1.4854,-1
2008.01.31 05:00:00,82,EURUSD,sell,in,0.1,1.4842,0
2008.01.31 08:00:00,83,EURUSD,buy,out,0.1,1.4883,-41
2008.01.31 10:00:00,84,EURUSD,sell,in,0.1,1.4825,0
2008.02.01 03:00:00,85,EURUSD,buy,out,0.1,1.4869,-44
2008.02.01 06:00:00,86,EURUSD,sell,in,0.1,1.4862,0
2008.02.01 12:00:00,87,EURUSD,buy,out,0.1,1.4881,-19
2008.02.01 16:00:00,88,EURUSD,sell,in,0.1,1.4841,0
2008.02.04 07:00:00,89,EURUSD,buy,out,0.1,1.4813,28
2008.03.04 22:00:00,90,EURUSD,sell,in,0.1,1.5208,0
2008.03.05 15:00:00,91,EURUSD,buy,out,0.1,1.5234,-26
2008.03.10 12:00:00,92,EURUSD,sell,in,0.1,1.536,0
